Bucket,Section,Item,Description,Status,Points Low,Points High,Hours Low,Hours High,Cost Low,Cost High
Feature work,Project setup,Starter project clone + project-specific configuration,"KMP scaffold, framework wiring, ServerBuilder skeleton, SDK generator, MongoDB/JSON/in-memory DB targets, and Firebase setup all from the starter template.",Required,1,1,4,4,600,600
Feature work,Project setup,Web deploy pipeline,"AWS Lambda + ALB backend deploy with Vite/CloudFront for the web frontend; native mobile deploy lives in the add-on.",Required,1.5,1.5,6,6,900,900
Feature work,Data models,"Clinic, User, ClinicMembership, role enums","Foundational ownership graph: Clinic, User, ClinicMembership, and the system + clinic-level role enums.",Required,1,1,4,4,600,600
Feature work,Data models,Patient + Address + VerifiedAddress + ClinicalEntry,"Patient identity plus Address/VerifiedAddress value objects and ClinicalEntry records (allergies, diseases, other medications).",Required,1,1,4,4,600,600
Feature work,Data models,Product + Form + ProductPharmacyMapping,"Catalog as product + variants: Product owns Forms; ProductPharmacyMapping carries strength/quantity per pharmacy.",Required,1,1,4,4,600,600
Feature work,Data models,Pharmacy + StateInfo,Pharmacy entity with per-state licensing matrix used by the ship-to-state eligibility filter.,Required,1,1,4,4,600,600
Feature work,Data models,PrescriberLicensing + DEA fields + ID.me linkage,"PrescriberLicensing model holding DEA number, license image, expirations, and `idMeSubjectId` linkage.",Required,1,1,4,4,600,600
Feature work,Data models,Prescription (template),"Durable Prescription template entity that persists across fills; supports refill tracking via indexed query.",Required,0.5,0.5,2,2,300,300
Feature work,Data models,Order + PrescriptionOrder + Fulfillment + Cancellation,"First-class basket Order with PrescriptionOrder line items; Fulfillment and Cancellation embed lifecycle state.",Required,2,2,8,8,1200,1200
Feature work,Data models,PharmacyOrder + Shipment + ClinicianReview + AcceptDetails,"PharmacyOrder, Shipment, ClinicianReview, and AcceptDetails models covering the dispatch and fulfillment side of the workflow.",Required,1,1,4,4,600,600
Feature work,Data models,ClinicInvoice + invoice line items,ClinicInvoice header model plus per-order line items for the clinic billing flow.,Required,1,1,4,4,600,600
Feature work,Data models,AppRelease + FcmToken + notification stubs,"AppRelease (force-update), FcmToken, and notification placeholder models.",Required,0.5,0.5,2,2,300,300
Feature work,Data models,KSP @GenerateDataClassPaths wired across all models,KSP `@GenerateDataClassPaths` wired across every model so query paths are type-safe.,Required,0.5,0.5,2,2,300,300
Feature work,"Auth, session, permissions",Email + password proof + email-PIN MFA wiring,Wiring email + password proof methods and email-PIN MFA on top of Lightning Server's auth framework.,Required,0.5,0.5,2,2,300,300
Feature work,"Auth, session, permissions",TOTP MFA + backup codes wiring,Wiring TOTP MFA and backup-code proof methods on top of Lightning Server's auth framework.,Required,0.5,0.5,2,2,300,300
Feature work,"Auth, session, permissions",Invite-link activation flow,Invite-link activation that walks a new clinic member through setting a password and enrolling MFA.,Required,1,1,4,4,600,600
Feature work,"Auth, session, permissions",Role-scoped ModelPermissions across every endpoint,"Lightning Server `ModelPermissions` predicates per model: clinic-scoped reads, clinic-admin deletes, prescriber-only writes, plus Shipment and PrescriberLicensing lockdown.",Required,2,2,8,8,1200,1200
Feature work,"Auth, session, permissions",Auth caches (RoleCache + ClinicMembershipsCache + CoClinicUsersCache),"Three 5-minute auth caches (Role, ClinicMemberships, CoClinicUsers) with helpers like `clinicIds()`, `clinicAdminIds()`, `prescriberClinicIds()`.",Required,1,1,4,4,600,600
Feature work,"Auth, session, permissions",ID.me real OAuth integration,"Real ID.me OAuth flow with callback page, `idMeSubjectId` storage, per-Rx verification cadence, and workforce-only BAA scope.",Required,3,3,12,12,1800,1800
Feature work,CRUD endpoints,"Clinic, User, ClinicMembership endpoints","CRUD endpoints for Clinic, User, and ClinicMembership with role-aware permission predicates.",Required,1,1,4,4,600,600
Feature work,CRUD endpoints,Patient endpoints (clinic-scoped),Patient CRUD endpoints gated on the caller's clinic memberships.,Required,0.5,0.5,2,2,300,300
Feature work,CRUD endpoints,Prescription + Order + PrescriptionOrder + PharmacyOrder endpoints,"Core ordering CRUD with post-submission immutability hooks, clinical-field write restrictions, and the most involved permission predicates in the system.",Required,2,2,8,8,1200,1200
Feature work,CRUD endpoints,Shipment endpoints (clinic-locked via denorm),Shipment endpoints locked to clinic members via denormalized clinic reference.,Required,0.5,0.5,2,2,300,300
Feature work,CRUD endpoints,Product + ProductPharmacyMapping endpoints,CRUD for Product and ProductPharmacyMapping with global-read + Ops-write permissions.,Required,0.5,0.5,2,2,300,300
Feature work,CRUD endpoints,Pharmacy + state-licensing endpoints,CRUD for Pharmacy and its state-licensing matrix.,Required,0.5,0.5,2,2,300,300
Feature work,CRUD endpoints,ClinicInvoice endpoints (dual-context),ClinicInvoice CRUD with dual-context read masks for clinic-admin and Ops perspectives.,Required,1,1,4,4,600,600
